region	sector	unit
BE	Refinery Gas	M.EUR
BE	Liquefied Petroleum Gases (LPG)	M.EUR
BE	Refinery Feedstocks	M.EUR
BE	Ethane	M.EUR
BE	Naphtha	M.EUR
BE	White Spirit & SBP	M.EUR
BE	Lubricants	M.EUR
BE	Bitumen	M.EUR
BE	Paraffin Waxes	M.EUR
BE	Petroleum Coke	M.EUR
BE	Non-specified Petroleum Products	M.EUR
BE	Nuclear fuel	M.EUR
BE	Plastics, basic	M.EUR
BE	Secondary plastic for treatment, Re-processing of secondary plastic into new plastic	M.EUR
BE	N-fertiliser	M.EUR
BE	P- and other fertiliser	M.EUR
BE	Chemicals nec	M.EUR
BE	Charcoal	M.EUR
BE	Additives/Blending Components	M.EUR
BE	Biogasoline	M.EUR
BE	Biodiesels	M.EUR
BE	Other Liquid Biofuels	M.EUR
BE	Rubber and plastic products (25)	M.EUR
BE	Glass and glass products	M.EUR
BE	Secondary glass for treatment, Re-processing of secondary glass into new glass	M.EUR
BE	Ceramic goods	M.EUR
BE	Bricks, tiles and construction products, in baked clay	M.EUR
BE	Cement, lime and plaster	M.EUR
BE	Ash for treatment, Re-processing of ash into clinker	M.EUR
BE	Other non-metallic mineral products	M.EUR
BE	Basic iron and steel and of ferro-alloys and first products thereof	M.EUR
BE	Secondary steel for treatment, Re-processing of secondary steel into new steel	M.EUR
BE	Precious metals	M.EUR
BE	Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals	M.EUR
BE	Aluminium and aluminium products	M.EUR
BE	Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium	M.EUR
BE	Lead, zinc and tin and products thereof	M.EUR
BE	Secondary lead for treatment, Re-processing of secondary lead into new lead	M.EUR
BE	Copper products	M.EUR
BE	Secondary copper for treatment, Re-processing of secondary copper into new copper	M.EUR
BE	Other non-ferrous metal products	M.EUR
BE	Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals	M.EUR
BE	Foundry work services	M.EUR
BE	Fabricated metal products, except machinery and equipment (28)	M.EUR
BE	Machinery and equipment n.e.c. (29)	M.EUR
BE	Office machinery and computers (30)	M.EUR
BE	Electrical machinery and apparatus n.e.c. (31)	M.EUR
BE	Radio, television and communication equipment and apparatus (32)	M.EUR
BE	Medical, precision and optical instruments, watches and clocks (33)	M.EUR
BE	Motor vehicles, trailers and semi-trailers (34)	M.EUR
BE	Other transport equipment (35)	M.EUR
BE	Furniture; other manufactured goods n.e.c. (36)	M.EUR
BE	Secondary raw materials	M.EUR
BE	Bottles for treatment, Recycling of bottles by direct reuse	M.EUR
BE	Electricity by coal	M.EUR
BE	Electricity by gas	M.EUR
BE	Electricity by nuclear	M.EUR
BE	Electricity by hydro	M.EUR
BE	Electricity by wind	M.EUR
BE	Electricity by petroleum and other oil derivatives	M.EUR
BE	Electricity by biomass and waste	M.EUR
BE	Electricity by solar photovoltaic	M.EUR
BE	Electricity by solar thermal	M.EUR
BE	Electricity by tide, wave, ocean	M.EUR
BE	Electricity by Geothermal	M.EUR
BE	Electricity nec	M.EUR
BE	Transmission services of electricity	M.EUR
BE	Distribution and trade services of electricity	M.EUR
BE	Coke oven gas	M.EUR
BE	Blast Furnace Gas	M.EUR
BE	Oxygen Steel Furnace Gas	M.EUR
BE	Gas Works Gas	M.EUR
BE	Biogas	M.EUR
BE	Distribution services of gaseous fuels through mains	M.EUR
BE	Steam and hot water supply services	M.EUR
BE	Collected and purified water, distribution services of water (41)	M.EUR
BE	Construction work (45)	M.EUR
BE	Secondary construction material for treatment, Re-processing of secondary construction material into aggregates	M.EUR
BE	Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries	M.EUR
BE	Retail trade services of motor fuel	M.EUR
BE	Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)	M.EUR
BE	Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)	M.EUR
BE	Hotel and restaurant services (55)	M.EUR
BE	Railway transportation services	M.EUR
BE	Other land transportation services	M.EUR
BE	Transportation services via pipelines	M.EUR
BE	Sea and coastal water transportation services	M.EUR
BE	Inland water transportation services	M.EUR
BE	Air transport services (62)	M.EUR
BE	Supporting and auxiliary transport services; travel agency services (63)	M.EUR
BE	Post and telecommunication services (64)	M.EUR
BE	Financial intermediation services, except insurance and pension funding services (65)	M.EUR
BE	Insurance and pension funding services, except compulsory social security services (66)	M.EUR
BE	Services auxiliary to financial intermediation (67)	M.EUR
BE	Real estate services (70)	M.EUR
BE	Renting services of machinery and equipment without operator and of personal and household goods (71)	M.EUR
BE	Computer and related services (72)	M.EUR
BE	Research and development services (73)	M.EUR
BE	Other business services (74)	M.EUR
BE	Public administration and defence services; compulsory social security services (75)	M.EUR
BE	Education services (80)	M.EUR
BE	Health and social work services (85)	M.EUR
BE	Food waste for treatment: incineration	M.EUR
BE	Paper waste for treatment: incineration	M.EUR
BE	Plastic waste for treatment: incineration	M.EUR
BE	Intert/metal waste for treatment: incineration	M.EUR
BE	Textiles waste for treatment: incineration	M.EUR
BE	Wood waste for treatment: incineration	M.EUR
BE	Oil/hazardous waste for treatment: incineration	M.EUR
BE	Food waste for treatment: biogasification and land application	M.EUR
BE	Paper waste for treatment: biogasification and land application	M.EUR
BE	Sewage sludge for treatment: biogasification and land application	M.EUR
BE	Food waste for treatment: composting and land application	M.EUR
BE	Paper and wood waste for treatment: composting and land application	M.EUR
BE	Food waste for treatment: waste water treatment	M.EUR
BE	Other waste for treatment: waste water treatment	M.EUR
BE	Food waste for treatment: landfill	M.EUR
BE	Paper for treatment: landfill	M.EUR
BE	Plastic waste for treatment: landfill	M.EUR
BE	Inert/metal/hazardous waste for treatment: landfill	M.EUR
BE	Textiles waste for treatment: landfill	M.EUR
BE	Wood waste for treatment: landfill	M.EUR
BE	Membership organisation services n.e.c. (91)	M.EUR
BE	Recreational, cultural and sporting services (92)	M.EUR
BE	Other services (93)	M.EUR
BE	Private households with employed persons (95)	M.EUR
BE	Extra-territorial organizations and bodies	M.EUR
BG	Paddy rice	M.EUR
BG	Wheat	M.EUR
BG	Cereal grains nec	M.EUR
BG	Vegetables, fruit, nuts	M.EUR
BG	Oil seeds	M.EUR
BG	Sugar cane, sugar beet	M.EUR
BG	Plant-based fibers	M.EUR
BG	Crops nec	M.EUR
BG	Cattle	M.EUR
BG	Pigs	M.EUR
BG	Poultry	M.EUR
BG	Meat animals nec	M.EUR
BG	Animal products nec	M.EUR
BG	Raw milk	M.EUR
BG	Wool, silk-worm cocoons	M.EUR
BG	Manure (conventional treatment)	M.EUR
BG	Manure (biogas treatment)	M.EUR
BG	Products of forestry, logging and related services (02)	M.EUR
BG	Fish and other fishing products; services incidental of fishing (05)	M.EUR
BG	Anthracite	M.EUR
BG	Coking Coal	M.EUR
BG	Other Bituminous Coal	M.EUR
BG	Sub-Bituminous Coal	M.EUR
BG	Patent Fuel	M.EUR
BG	Lignite/Brown Coal	M.EUR
BG	BKB/Peat Briquettes	M.EUR
BG	Peat	M.EUR
BG	Crude petroleum and services related to crude oil extraction, excluding surveying	M.EUR
BG	Natural gas and services related to natural gas extraction, excluding surveying	M.EUR
BG	Natural Gas Liquids	M.EUR
BG	Other Hydrocarbons	M.EUR
BG	Uranium and thorium ores (12)	M.EUR
BG	Iron ores	M.EUR
BG	Copper ores and concentrates	M.EUR
BG	Nickel ores and concentrates	M.EUR
BG	Aluminium ores and concentrates	M.EUR
BG	Precious metal ores and concentrates	M.EUR
BG	Lead, zinc and tin ores and concentrates	M.EUR
BG	Other non-ferrous metal ores and concentrates	M.EUR
BG	Stone	M.EUR
BG	Sand and clay	M.EUR
BG	Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.	M.EUR
BG	Products of meat cattle	M.EUR
BG	Products of meat pigs	M.EUR
BG	Products of meat poultry	M.EUR
BG	Meat products nec	M.EUR
BG	products of Vegetable oils and fats	M.EUR
BG	Dairy products	M.EUR
BG	Processed rice	M.EUR
BG	Sugar	M.EUR
BG	Food products nec	M.EUR
BG	Beverages	M.EUR
BG	Fish products	M.EUR
BG	Tobacco products (16)	M.EUR
BG	Textiles (17)	M.EUR
BG	Wearing apparel; furs (18)	M.EUR
BG	Leather and leather products (19)	M.EUR
BG	Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)	M.EUR
BG	Wood material for treatment, Re-processing of secondary wood material into new wood material	M.EUR
BG	Pulp	M.EUR
BG	Secondary paper for treatment, Re-processing of secondary paper into new pulp	M.EUR
BG	Paper and paper products	M.EUR
BG	Printed matter and recorded media (22)	M.EUR
