region		FR	FR	FR	FR	FR	FR	FR	Europe	Europe	Europe	Europe	Europe	Europe	Europe	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	RoW	RoW	RoW	RoW	RoW	RoW	RoW
category		Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)
Europe	Biomass_industry	25855.6673255	0	0	0	118.266591956	0	0	463329.530475	1626.82127772	1236.86711317	11537.0983465	12870.3592324	0	0	9400.00850175	32.4381281368	20.4305836122	70.3188691613	298.333522869	0	0	51341.0202688	0.475862536562	9.50469012604	247.852528056	772.56995796	0	0	36752.5384212	1.63240409448	751.44122774	846.616839708	11.5767057367	0	0
Europe	Clothing	22808.0719333	0	0	0	168.308050757	0	0	108722.255046	496.894027672	224.527548243	1597.41565776	2102.54960407	0	0	4138.23701689	4.40194109685	6.04258561061	2.5372154488	89.8305005409	0	0	23882.660683	0	24.896146272	64.5142538441	120.953937409	0	0	11147.467963	0.154867777906	1.63590640868	264.300245872	368.26433318	0	0
Europe	Heavy_industry	0	0	0	0	0	0	0	67544.5183544	910.267442159	130746.511039	6957.82865948	16896.9967905	0	0	3449.90595626	12.8603514703	143.324152324	252.549332635	491.697163717	0	0	20459.5752633	228.72504332	763.535419834	513.564063377	907.889392385	0	0	21208.0684061	59.5076234243	43.1478013159	363.759859162	394.047938715	0	0
Europe	Construction	0	0	0	0	0	0	0	18540.9254987	0.398246536049	2132.75329493	893102.980245	956.703730089	0	0	60.8546128861	0	0	4648.86247565	0	0	0	0.383649110549	0.093692269949	0.0464134430331	3744.355995	1.67133264342	0	0	128.874909775	0.011394369524	1.04250352452	9468.90156459	0	0	0
Europe	Automobile	29014.0209561	0	0	15523.7894877	218.466765997	0	0	54639.599247	157.032970664	60.0992657516	72659.2375431	2036.57879399	0	0	9182.74864485	63.3592537635	51.5347455044	20332.8203867	2299.12702046	0	0	53036.8985341	0	0	47239.5505834	2011.66393729	0	0	14577.8655683	0.0932956118996	3.48804953717	15974.9279288	157.440833599	0	0
Europe	Oth transport equipment	0	0	0	0	0	0	0	11386.076281	1360.30373477	545.415182441	20565.0902465	2393.3781498	0	0	362.813978055	0.993930916636	0.525103981167	4055.13388992	581.109435978	0	0	3379.38778117	0	14.8711456103	11742.5603145	453.339461674	0	0	2369.7191607	0.000797818011435	3.10849890553	9304.1688055	69.4881861928	0	0
Europe	Machinery	0	0	0	0	0	0	0	34478.5020588	354.791234872	2859.24790775	244764.54975	11882.8932337	0	0	4115.12872373	9.2256033955	11.7980616382	20716.3285308	3478.42627744	0	0	16964.0299869	0	255.469522463	88326.4529477	1638.76364516	0	0	13666.7101534	0.0206436296381	740.33182279	71617.9716449	516.703734813	0	0
Europe	Electronics	0	0	0	0	0	0	0	32152.5361006	544.572040688	63.0630985927	36895.6149131	8151.28684062	0	0	2652.32903586	25.2684847938	29.6860811364	1533.1476298	448.618223944	0	0	7396.73741587	0	13.2569902444	7821.00816274	186.793104331	0	0	4990.53994534	0.0862913405373	0.268798338769	10226.0676653	183.241336823	0	0
Europe	Fossil fuels	7311.27481839	0	1.48373031599	1.72387434853e-07	25.4578961181	0	0	92638.7402695	60.325580416	129.246749597	41.9832189997	5224.34594754	0	0	289.251713931	3.67026041685	5.35532681159	0	307.201053173	0	0	10723.9346308	0	6.84802009251	0.127303257713	684.06661404	0	0	8441.1225471	2.70528928368	13.7455091208	0.0310045333236	0.435614004145	0	0
Europe	Electricity and heat	0.134792930073	0	0	0	0	0	0	134590.25101	0.299841783055	515.236543071	7.71857226868	1120.64804559	0	0	0	0	0	0	0	0	0	55.2650713557	0	0	0	0	0	0	0.0187629803433	3.36124329186e-06	0.00584077339261	0	0	0	0
